id,domain,aggregator,sensor,axis,value,create_time,test_div_id
15341,frequency,ECDF_0,CBM,Y,0.0006720430107526882,2023-07-06 13:19:36,95941
15342,frequency,ECDF_0,CBM,Z,0.0006720430107526882,2023-07-06 13:19:36,95941
15343,time,ECDF_0,IMU,X,6.584021243214336e-06,2023-07-10 11:09:52,95941
15344,time,ECDF_1,IMU,Y,7.215840212434336e-06,2023-07-06 13:19:36,95941
